,Name,Position,Age,Market Value In Millions(£),Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out,G\A
332,Eden Hazard,Left Winger,30,22.5,Belgium,Real Madrid,11,0,0,1,1,0,0,6,5,1
333,Karim Benzema,Centre-Forward,33,22.5,France,Real Madrid,15,14,0,8,0,0,0,0,4,22
334,NicolÃ¡s GonzÃ¡lez,Left Winger,23,21.6,Argentina,ACF Fiorentina,9,3,0,2,0,1,0,2,4,5
335,Amadou Haidara,Central Midfield,23,21.6,Mali,RB Leipzig,16,3,0,0,1,0,0,4,7,3
336,Rafa Silva,Right Winger,28,21.6,Portugal,SL Benfica,20,8,0,3,4,0,0,7,9,11
337,OtÃ¡vio,Attacking Midfield,26,21.6,Portugal,FC Porto,17,1,0,5,5,0,0,1,13,6
338,Victor LindelÃ¶f,Centre-Back,27,21.6,Sweden,Manchester United,12,0,0,2,1,0,0,1,0,2
339,Giovanni Di Lorenzo,Right-Back,28,21.6,Italy,SSC Napoli,16,1,0,1,3,0,0,0,0,2
340,Odilon Kossounou,Centre-Back,20,20.7,Cote d'Ivoire,Bayer 04 Leverkusen,14,0,0,2,1,0,0,2,1,2
341,Rayan Cherki,Attacking Midfield,18,20.7,France,Olympique Lyon,17,6,0,3,2,0,0,9,7,9
342,Brahim DÃ­az,Attacking Midfield,22,20.7,Spain,AC Milan,11,4,0,2,3,0,0,1,9,6
343,Mario Pasalic,Central Midfield,26,20.7,Croatia,Atalanta BC,16,3,0,5,1,0,0,5,9,8
344,Marten de Roon,Defensive Midfield,30,20.7,Netherlands,Atalanta BC,12,1,0,0,3,0,0,0,1,1
345,Andrej Kramaric,Second Striker,30,20.7,Croatia,TSG 1899 Hoffenheim,13,4,0,6,2,0,0,0,2,10
346,Gabriel Martinelli,Left Winger,20,19.8,Brazil,Arsenal FC,9,1,0,1,0,0,0,5,3,2
347,Dwight McNeil,Left Winger,21,19.8,England,Burnley FC,13,0,0,1,2,0,0,0,3,1
348,Max Aarons,Right-Back,21,19.8,England,Norwich City,15,0,1,0,5,0,0,1,1,0
349,David Neres,Right Winger,24,19.8,Brazil,Ajax Amsterdam,15,3,0,1,0,0,0,13,1,4
350,MattÃ©o Guendouzi,Central Midfield,22,19.8,France,Olympique Marseille,17,3,0,3,2,0,0,1,5,6
351,Cody Gakpo,Left Winger,22,19.8,Netherlands,PSV Eindhoven,19,7,0,8,2,0,0,2,11,15
352,Matty Cash,Right-Back,24,19.8,Poland,Aston Villa,12,1,0,1,2,0,0,0,3,2
353,Francisco TrincÃ£o,Right Winger,21,19.8,Portugal,Wolverhampton Wanderers,10,1,0,0,0,0,0,2,7,1
354,Marash Kumbulla,Centre-Back,21,19.8,Albania,AS Roma,6,0,0,0,1,0,0,3,1,0
355,Sasa Kalajdzic,Centre-Forward,24,19.8,Austria,VfB Stuttgart,1,0,0,0,0,0,0,1,0,0
356,Patson Daka,Centre-Forward,23,19.8,Zambia,Leicester City,11,5,0,1,0,0,0,6,3,6
357,Giovani Lo Celso,Central Midfield,25,19.8,Argentina,Tottenham Hotspur,14,1,0,1,0,0,0,6,4,2
358,Guido RodrÃ­guez,Defensive Midfield,27,19.8,Argentina,Real Betis,15,0,0,2,2,1,0,4,1,2
359,Joe Willock,Central Midfield,22,19.8,England,Newcastle United,10,0,0,0,0,0,0,3,6,0
360,Todd Cantwell,Left Midfield,23,19.8,England,Norwich City,7,1,0,0,2,0,0,2,1,1
361,Christoph Baumgartner,Attacking Midfield,22,19.8,Austria,TSG 1899 Hoffenheim,10,3,0,1,2,0,0,2,7,4
362,Malcom,Right Winger,24,19.8,Brazil,Zenit St. Petersburg,15,3,0,5,1,0,0,3,7,8
363,Orel Mangala,Defensive Midfield,23,19.8,Belgium,VfB Stuttgart,8,1,0,0,1,0,0,2,4,1
364,Ramy Bensebaini,Left-Back,26,19.8,Algeria,Borussia Manchengladbach,6,2,0,1,1,0,0,1,0,3
365,Steven Bergwijn,Left Winger,24,19.8,Netherlands,Tottenham Hotspur,9,0,0,1,1,0,0,3,5,1
366,Kasper Dolberg,Centre-Forward,24,19.8,Denmark,OGC Nice,8,3,0,0,0,0,0,3,4,3
367,Paul Onuachu,Centre-Forward,27,19.8,Nigeria,KRC Genk,20,12,0,0,2,0,0,2,11,12
368,Joachim Andersen,Centre-Back,25,19.8,Denmark,Crystal Palace,12,0,0,0,3,0,0,1,0,0
369,Dean Henderson,Goalkeeper,24,19.8,England,Manchester United,3,0,0,0,0,0,0,0,0,0
370,Alex Iwobi,Left Winger,25,19.8,Nigeria,Everton FC,11,2,0,1,0,0,0,4,5,3
371,Jonathan Tah,Centre-Back,25,19.8,Germany,Bayer 04 Leverkusen,16,0,0,1,2,0,0,0,0,1
372,Alejandro Grimaldo,Left-Back,26,19.8,Spain,SL Benfica,19,2,0,3,1,0,0,2,7,5
373,Fred,Central Midfield,28,19.8,Brazil,Manchester United,12,1,1,0,4,0,0,1,6,1
374,Patrick Bamford,Centre-Forward,28,19.8,England,Leeds United,6,1,0,3,1,0,0,1,1,4
375,Eric Dier,Centre-Back,27,19.8,England,Tottenham Hotspur,13,0,1,0,0,0,0,0,1,0
376,Leandro Paredes,Defensive Midfield,27,19.8,Argentina,Paris Saint-Germain,3,0,0,0,2,0,0,1,1,0
377,Berat Djimsiti,Centre-Back,28,19.8,Albania,Atalanta BC,10,0,0,0,0,0,0,3,1,0
378,Jesse Lingard,Attacking Midfield,28,19.8,England,Manchester United,8,2,0,1,0,0,0,7,1,3
379,Danny Ings,Centre-Forward,29,19.8,England,Aston Villa,9,3,0,2,1,0,0,0,5,5
380,Allan,Central Midfield,30,19.8,Brazil,Everton FC,11,0,0,1,1,0,0,0,2,1
381,Callum Wilson,Centre-Forward,29,19.8,England,Newcastle United,7,4,0,0,3,0,0,0,3,4
382,Granit Xhaka,Defensive Midfield,29,19.8,Switzerland,Arsenal FC,5,0,0,0,0,0,1,0,2,0
383,Alexandre Lacazette,Centre-Forward,30,19.8,France,Arsenal FC,9,3,0,1,0,0,0,5,3,4
384,Joao Palhinha,Defensive Midfield,26,18.9,Portugal,Sporting CP,18,2,0,0,5,0,0,2,5,2
385,Yussuf Poulsen,Centre-Forward,27,18.9,Denmark,RB Leipzig,15,4,0,3,2,0,0,8,5,7
386,Thiago Almada,Attacking Midfield,20,18,Argentina,Club Athletico Valez Sarsfield,16,4,0,4,0,0,0,1,11,8
387,Julian Alvarez,Centre-Forward,21,18,Argentina,Club River Plate,16,15,0,6,1,0,0,3,4,21
388,Sofiane Diop,Attacking Midfield,21,18,France,AS Monaco,24,8,0,6,4,0,0,9,10,14
389,Pape Sarr,Defensive Midfield,19,18,Senegal,FC Metz,13,0,0,1,2,0,0,3,4,1
390,Pedro Porro,Right-Back,22,18,Spain,Sporting CP,15,2,0,2,5,0,0,5,6,4
391,Darwin Nunez,Centre-Forward,22,18,Uruguay,SL Benfica,13,8,0,2,2,0,0,3,8,10
392,Illan Meslier,Goalkeeper,21,18,France,Leeds United,19,0,0,0,1,0,0,0,0,0
393,Mikkel Damsgaard,Left Winger,21,18,Denmark,UC Sampdoria,8,0,0,0,1,0,0,2,4,0
394,Karim Adeyemi,Centre-Forward,19,18,Germany,Red Bull Salzburg,22,15,0,2,3,0,0,2,20,17
395,Enock Mwepu,Central Midfield,23,18,Zambia,Brighton & Hove Albion,8,2,0,2,1,0,0,4,3,4
396,Musa Barrow,Centre-Forward,23,18,The Gambia,Bologna FC 1909,12,4,0,4,0,0,0,2,8,8
397,Eberechi Eze,Attacking Midfield,23,18,England,Crystal Palace,2,0,0,0,0,0,0,0,2,0
398,Eric Garcia,Centre-Back,20,18,Spain,FC Barcelona,13,0,0,0,3,1,1,1,3,0
399,Aaron Ramsdale,Goalkeeper,23,18,England,Arsenal FC,11,0,0,0,0,0,0,0,0,0
400,Martan Zubimendi,Defensive Midfield,22,18,Spain,Real Sociedad,17,0,0,1,3,0,0,3,2,1
401,Samuel Chukwueze,Right Winger,22,18,Nigeria,Villarreal CF,7,1,0,0,1,0,0,7,0,1
402,Doda,Right-Back,23,18,Brazil,Shakhtar Donetsk,20,0,0,3,1,0,0,1,1,3
403,Manor Solomon,Left Winger,22,18,Israel,Shakhtar Donetsk,20,3,0,2,1,0,0,6,11,5
404,Marc Guehi,Centre-Back,21,18,England,Crystal Palace,17,1,0,0,1,0,0,1,0,1
405,Hamed Junior Traore,Attacking Midfield,21,18,Cote d'Ivoire,US Sassuolo,11,1,0,2,1,0,0,7,4,3
406,Yusuf Yazici,Attacking Midfield,24,18,Turkey,LOSC Lille,15,1,0,1,3,0,0,11,4,2
407,Tetaa,Right Winger,21,18,Brazil,Shakhtar Donetsk,22,7,0,2,4,0,0,7,11,9
408,Pablo Fornals,Attacking Midfield,25,18,Spain,West Ham United,17,4,0,2,3,0,0,5,4,6
409,Alfonso Pedraza,Left-Back,25,18,Spain,Villarreal CF,10,0,0,2,2,0,0,2,7,2
410,Igor Zubeldia,Centre-Back,24,18,Spain,Real Sociedad,11,0,0,2,2,0,0,6,0,2
411,Mason Holgate,Centre-Back,25,18,England,Everton FC,6,0,0,0,0,0,1,1,0,0
412,ChÃ© Adams,Centre-Forward,25,18,Scotland,Southampton FC,10,2,0,1,0,0,0,2,4,3
413,Gerson,Central Midfield,24,18,Brazil,Olympique Marseille,14,1,0,2,0,0,0,4,8,3
414,Tyler Adams,Defensive Midfield,22,18,United States,RB Leipzig,13,0,0,0,5,0,0,3,4,0
415,Matteo Pessina,Attacking Midfield,24,18,Italy,Atalanta BC,9,1,0,0,0,0,0,2,6,1
416,Takehiro Tomiyasu,Right-Back,23,18,Japan,Arsenal FC,11,0,1,0,1,0,0,1,2,0
417,Jeff Reine-Adade,Attacking Midfield,23,18,France,Olympique Lyon,0,0,0,0,0,0,0,0,0,0
418,Dani Ceballos,Central Midfield,25,18,Spain,Real Madrid,1,0,0,0,0,0,0,0,1,0
419,Nahitan Na¡ndez,Right Midfield,25,18,Uruguay,Cagliari Calcio,11,0,0,1,3,0,0,1,1,1
420,Gaetano Castrovilli,Central Midfield,24,18,Italy,ACF Fiorentina,9,0,0,1,2,0,0,4,5,1
421,Kelechi Iheanacho,Centre-Forward,25,18,Nigeria,Leicester City,16,3,0,5,1,0,0,8,4,8
422,Mauro Arambarri,Central Midfield,26,18,Uruguay,Getafe CF,10,0,0,0,3,0,0,0,2,0
423,Yerry Mina,Centre-Back,27,18,Colombia,Everton FC,6,0,0,0,1,0,0,1,0,0
424,Marc Cucurella,Left Midfield,23,18,Spain,Brighton & Hove Albion,11,0,0,1,2,0,0,3,2,1
425,Unai Simon,Goalkeeper,24,18,Spain,Athletic Bilbao,11,0,0,0,1,0,0,0,1,0
426,Luka Jovic,Centre-Forward,23,18,Serbia,Real Madrid,9,2,0,1,1,0,0,7,1,3
427,Alex Telles,Left-Back,28,18,Brazil,Manchester United,3,1,0,0,1,0,0,1,2,1
428,Yeray Ãlvarez,Centre-Back,26,18,Spain,Athletic Bilbao,3,0,0,0,2,0,0,0,0,0
429,Zeki Celik,Right-Back,24,18,Turkey,LOSC Lille,14,0,0,0,4,0,0,1,1,0
430,Harry Winks,Defensive Midfield,25,18,England,Tottenham Hotspur,7,0,0,1,1,0,0,2,1,1
431,Diego Llorente,Centre-Back,28,18,Spain,Leeds United,9,1,0,0,2,0,0,0,4,1
432,Juan Musso,Goalkeeper,27,18,Argentina,Atalanta BC,15,0,0,0,1,0,0,0,0,0
433,Moussa Dembelac,Centre-Forward,25,18,France,Olympique Lyon,6,4,0,1,0,0,0,1,1,5
434,Andreas Gomes,Central Midfield,28,18,Portugal,Everton FC,5,0,0,1,1,0,0,4,1,1
435,Neal Maupay,Centre-Forward,25,18,France,Brighton & Hove Albion,11,4,0,0,3,0,0,2,2,4
436,Jackramie Boga,Left Winger,24,18,Cote d'Ivoire,US Sassuolo,8,0,0,3,0,0,0,1,5,3
437,Ãlex Remiro,Goalkeeper,26,18,Spain,Real Sociedad,15,0,0,0,0,0,0,0,0,0
438,Bryan Cristante,Central Midfield,26,18,Italy,AS Roma,18,2,0,1,4,0,0,3,0,3
439,Alessio Romagnoli,Centre-Back,26,18,Italy,AC Milan,11,0,0,0,1,0,0,3,1,0
440,Julian Weigl,Defensive Midfield,26,18,Germany,SL Benfica,18,2,0,4,4,0,0,4,3,6
441,Arkadiusz Milik,Centre-Forward,27,18,Poland,Olympique Marseille,9,2,0,0,0,0,0,3,3,2
442,Hector Bellerin,Right-Back,26,18,Spain,Real Betis ,8,0,1,1,0,0,0,0,0,1
443,Julian Brandt,Attacking Midfield,25,18,Germany,Borussia Dortmund,13,2,0,3,0,0,0,3,7,5
444,Tiemouac Bakayoko,Defensive Midfield,27,18,France,AC Milan,6,0,0,0,2,0,0,6,1,0
445,Filip Kostic,Left Midfield,29,18,Serbia,Eintracht Frankfurt,13,2,0,5,1,0,0,1,2,7
446,Danilo,Right-Back,30,18,Brazil,Juventus FC,13,0,0,1,4,0,0,0,1,1
447,Bertrand Traore,Right Winger,26,18,Burkina Faso,Aston Villa,5,0,0,0,0,0,0,4,1,0
448,Erik Lamela,Right Winger,29,18,Argentina,Sevilla FC,16,4,0,2,5,0,0,11,3,6
449,Emil Forsberg,Left Winger,30,18,Sweden,RB Leipzig,17,4,0,1,0,0,0,6,7,5
450,Portu,Right Winger,29,18,Spain,Real Sociedad,16,0,0,1,2,0,0,6,9,1
451,Kieran Trippier,Right-Back,31,18,England,Athletico de Madrid,15,0,0,0,1,0,0,3,6,0
452,James Rodri­guez,Attacking Midfield,30,18,Colombia,Al-Rayyan SC,3,1,0,1,0,0,0,0,1,2
453,Julian Draxler,Left Winger,28,18,Germany,Paris Saint-Germain,14,2,0,2,1,0,0,8,5,4
454,Philippe Coutinho,Attacking Midfield,29,18,Brazil,FC Barcelona,11,1,0,0,1,0,0,7,4,1
455,Alex Sandro,Left-Back,30,18,Brazil,Juventus FC,15,1,0,1,1,0,0,3,3,2
456,Sergio Canales,Attacking Midfield,30,18,Spain,Real Betis ,15,1,0,3,1,0,0,3,7,4
457,Jordan Henderson,Central Midfield,31,18,England,Liverpool FC,15,2,0,2,1,0,0,2,4,4
458,Ãngel Di MarÃ­a,Right Winger,33,18,Argentina,Paris Saint-Germain,9,2,0,3,1,0,0,2,6,5
459,Josko Gvardiol,Centre-Back,19,17.1,Croatia,RB Leipzig,15,0,0,2,2,0,0,5,3,2
460,Joakim Maehle,Right-Back,24,17.1,Denmark,Atalanta BC,14,0,0,0,2,0,0,3,3,0
461,Maximilian Arnold,Central Midfield,27,17.1,Germany,VfL Wolfsburg,16,1,0,2,2,0,0,1,0,3
462,Mohamed Simakan,Centre-Back,21,16.2,France,RB Leipzig,16,0,0,0,3,0,0,2,5,0
463,Rayan AÃ¯t Nouri,Left-Back,20,16.2,France,Wolverhampton Wanderers,6,0,0,2,1,0,0,1,3,2
464,Amad Diallo,Right Winger,19,16.2,Cote d'Ivoire,Manchester United,2,2,0,1,0,0,0,0,0,3
465,Tariq Lamptey,Right-Back,21,16.2,England,Brighton & Hove Albion,5,0,0,0,1,0,0,3,2,0
466,Noni Madueke,Right Winger,19,16.2,England,PSV Eindhoven,17,6,0,1,0,0,0,2,15,7
467,Khvicha Kvaratskhelia,Left Winger,20,16.2,Georgia,Rubin Kazan,15,1,0,2,4,0,0,3,7,3
468,Wendel,Central Midfield,24,16.2,Brazil,Zenit St. Petersburg,20,4,0,2,3,0,0,0,13,6
469,William Saliba,Centre-Back,20,16.2,France,Olympique Marseille,20,0,0,0,3,0,0,0,1,0
470,Marcos Senesi,Centre-Back,24,16.2,Argentina,Feyenoord Rotterdam,18,0,0,3,2,0,0,0,5,3
471,Youssoufa Moukoko,Centre-Forward,16,16.2,Germany,Borussia Dortmund,11,3,0,1,2,0,0,7,3,4
472,Luiz Felipe,Centre-Back,24,16.2,Brazil,SS Lazio,13,0,0,0,4,0,1,0,2,0
473,NicolÃ¡s De La Cruz,Central Midfield,24,16.2,Uruguay,Club River Plate,11,4,0,1,1,0,0,2,3,5
474,Ryan Sessegnon,Left Midfield,21,16.2,England,Tottenham Hotspur,3,0,0,0,0,0,0,0,3,0
475,Axel Disasi,Centre-Back,23,16.2,France,AS Monaco,16,1,0,0,3,0,0,3,4,1
476,Alexis Saelemaekers,Right Winger,22,16.2,Belgium,AC Milan,16,0,0,2,2,0,0,4,7,2
477,Yangel Herrera,Central Midfield,23,16.2,Venezuela,RCD Espanyol Barcelona,4,0,0,0,1,0,0,3,1,0
478,Cengiz Aonder,Right Winger,24,16.2,Turkey,Olympique Marseille,15,5,0,0,0,1,0,1,5,5
479,Kyle Walker-Peters,Right-Back,24,16.2,England,Southampton FC,9,1,0,1,2,0,0,1,1,2
480,Noussair Mazraoui,Right-Back,24,16.2,Morocco,Ajax Amsterdam,16,4,0,3,1,0,0,0,5,7
481,Umar Sadiq,Centre-Forward,24,16.2,Nigeria,UD Almeria,15,7,0,6,5,0,0,1,7,13
482,Sander Berge,Defensive Midfield,23,16.2,Norway,Sheffield United,6,1,0,0,0,0,0,1,1,1
483,Manuel Lazzari,Right Midfield,27,16.2,Italy,SS Lazio,13,1,0,0,2,0,0,5,4,1
484,Ã‰verton,Left Winger,25,16.2,Brazil,SL Benfica,20,3,1,4,3,0,0,10,6,7
485,Daniel James,Left Winger,24,16.2,Wales,Leeds United,12,0,0,1,0,0,0,1,6,1
486,Lucas Torreira,Defensive Midfield,25,16.2,Uruguay,ACF Fiorentina,9,0,0,0,0,0,0,2,6,0
487,Tom Davies,Central Midfield,23,16.2,England,Everton FC,7,1,0,1,0,0,0,4,1,2
488,Renato Tapia,Defensive Midfield,26,16.2,Peru,Celta de Vigo,11,0,0,0,5,0,0,1,7,0
489,David Raya,Goalkeeper,26,16.2,Spain,Brentford FC,9,0,0,0,0,0,0,0,0,0
490,Gregor Kobel,Goalkeeper,23,16.2,Switzerland,Borussia Dortmund,18,0,0,0,0,0,0,0,1,0
491,Wilmar Barrios,Defensive Midfield,28,16.2,Colombia,Zenit St. Petersburg,16,0,0,1,2,0,0,1,4,1
492,Gelson Martins,Right Winger,26,16.2,Portugal,AS Monaco,18,3,0,1,0,0,0,2,16,4
493,Rob Holding,Centre-Back,26,16.2,England,Arsenal FC,5,0,0,0,2,0,0,0,1,0
494,Adam Armstrong,Centre-Forward,24,16.2,England,Southampton FC,11,2,0,2,0,0,0,1,2,4
495,Giorgian de Arrascaeta,Attacking Midfield,27,16.2,Uruguay,Clube de Regatas do Flamengo,0,0,0,0,0,0,0,0,0,0
496,Ayoze Parez,Second Striker,28,16.2,Spain,Leicester City,8,1,0,3,0,0,1,2,5,4
497,Alex Meret,Goalkeeper,24,16.2,Italy,SSC Napoli,5,0,0,0,0,0,0,0,0,0
498,Duje Caleta-Car,Centre-Back,25,16.2,Croatia,Olympique Marseille,8,0,0,0,2,0,0,0,2,0
499,Aritz Elustondo,Centre-Back,27,16.2,Spain,Real Sociedad,15,3,0,1,4,0,0,1,1,4
